date,Open,High,Low,Close,Volume
2023-07-28 14:42:00,425.38,425.83,425.38,425.83,15309.0
2023-07-28 14:43:00,425.7,426.11,425.57,426.055,10824.0
2023-07-28 14:44:00,426.1,426.141,426.04,426.141,3318.0
2023-07-28 14:45:00,426.12,426.58,426.12,426.46,17007.0
2023-07-28 14:46:00,426.554,426.57,426.363,426.515,12753.0
2023-07-28 14:47:00,426.58,426.66,426.4,426.66,10240.0
2023-07-28 14:48:00,426.605,426.67,426.3,426.42,10323.0
2023-07-28 14:49:00,426.41,426.75,426.41,426.715,5437.0
2023-07-28 14:50:00,426.69,426.889,426.68,426.77,18420.0
2023-07-28 14:51:00,426.84,426.95,426.8,426.94,5397.0
2023-07-28 14:52:00,426.86,426.976,426.76,426.976,5414.0
2023-07-28 14:53:00,426.82,426.875,426.72,426.82,9787.0
2023-07-28 14:54:00,426.881,426.9,426.6,426.76,7244.0
2023-07-28 14:55:00,426.555,426.95,426.53,426.819,9663.0
2023-07-28 14:56:00,426.83,427.023,426.735,427.017,14064.0
2023-07-28 14:57:00,427.04,427.04,426.8,426.88,7085.0
2023-07-28 14:58:00,426.885,426.89,426.57,426.718,7124.0
2023-07-28 14:59:00,426.68,426.96,426.68,426.76,6231.0
2023-07-28 15:00:00,426.8,426.8,426.27,426.3,11545.0
2023-07-28 15:01:00,426.41,426.69,426.32,426.54,6927.0
2023-07-28 15:02:00,426.477,426.6,426.415,426.49,3746.0
2023-07-28 15:03:00,426.47,426.825,426.37,426.6,8891.0
2023-07-28 15:04:00,426.67,426.99,426.67,426.88,5469.0
2023-07-28 15:05:00,426.81,427.0,426.75,426.855,9721.0
2023-07-28 15:06:00,426.92,427.08,426.9,427.06,4459.0
2023-07-28 15:07:00,427.06,427.2,426.99,427.157,9521.0
2023-07-28 15:08:00,427.1,427.47,427.07,427.304,22996.0
2023-07-28 15:09:00,427.4,427.42,427.084,427.25,7899.0
2023-07-28 15:10:00,427.26,427.26,426.875,426.92,8899.0
2023-07-28 15:11:00,427.059,427.08,426.77,427.08,6681.0
2023-07-28 15:12:00,427.14,427.45,426.96,427.137,14906.0
2023-07-28 15:13:00,427.075,427.075,426.86,426.935,3376.0
2023-07-28 15:14:00,426.87,426.97,426.7,426.725,7819.0
2023-07-28 15:15:00,426.745,427.015,426.7,426.81,7584.0
2023-07-28 15:16:00,426.85,426.976,426.699,426.976,3341.0
2023-07-28 15:17:00,426.885,427.08,426.61,426.765,11826.0
2023-07-28 15:18:00,426.977,427.18,426.975,427.086,5737.0
2023-07-28 15:19:00,426.98,427.12,426.9,427.05,5945.0
2023-07-28 15:20:00,426.98,427.09,426.98,427.0,4548.0
2023-07-28 15:21:00,426.94,426.94,426.71,426.71,7255.0
2023-07-28 15:22:00,426.741,426.94,426.68,426.725,10080.0
2023-07-28 15:23:00,426.725,426.83,426.5,426.5,12631.0
